Data Payload (Hex),Count
1A00FFE119891B90,4
1A00FF891C421E90,4
1A00FF430F831090,4
1A00FFE119851B90,4
1A00FF9B0CC80D90,4
1A00FF3917C71890,4
1A00FFA108860990,4
1A00FFEF0D060F90,4
1A00FFE1198D1B90,4
490E313E0E001B0E,4
490E76380E001B0E,4
1A00FF3917C31890,4
1A00FF3917C91890,4
1A00FFEB114D1390,4
1A00FF8D184D1A90,4
1A00FFE5154F1790,4
1A00FFEB114F1390,4
1A00FFF905CC0690,4
1A00FFA108840990,4
1A00FF9B0CC30D90,4
1A00FF490B4B0C90,4
1A00FFE5154D1790,4
1A00FF430F861090,4
490E13420E001B0E,4
1A00FFDD1DC21F90,4
1A00FF430F8A1090,4
00E4000000000069,4
1A00FFEB114B1390,4
1A00FF9314071690,4
1A00FFDD1DC61F90,4
1A00FF3917C21890,4
1A00FFF309C00A90,4
1A00FFEF0D000F90,4
1A00FF4D070A0890,4
1A00FF4D07020890,4
1A00FF5103C60390,4
1A00FF93140B1690,4
1A00FF430F871090,4
1A00FFDD1DC71F90,4
1A00FF3917CB1890,4
1A00FF3917C51890,4
1A00FF9314061690,4
1A00FFE515471790,4
1A00FFA504440590,4
1A00FFDD1DC41F90,4
1A00FFDD1DC51F90,4
1A00FFFF01890190,4
1A00FFDD1DCD1F90,4
1A00FFF905C00690,4
00F7000000000069,4
1A00FFDD1DCE1F90,4
1A00FFDD1DCF1F90,4
0180180000000000,4
490E4E1B0E001B0E,4
490E933D0E001B0E,4
1A00FF430F851090,3
1A00FF8D184F1A90,3
490E1D1A0E001B0E,3
1A00FF4D07090890,3
1A00FF8D184C1A90,3
1A00FFF905C10690,3
490EE2460E001B0E,3
1A00FF3917C41890,3
1A00FFA108820990,3
1A00FF3917CF1890,3
1A00FFF309C10A90,3
1A00FFEB114E1390,3
